date_id,BTC_Daily_Return,BTC_Intraday_Vol_Proxy,BTC_Momentum_5,BTC_Vol_5,BTC_SMA_5,BTC_Momentum_10,BTC_Vol_10,BTC_SMA_10,BTC_Momentum_20,BTC_Vol_20,BTC_SMA_20,BTC_Momentum_60,BTC_Vol_60,BTC_SMA_60,BTC_Is_Weekend,BTC_DOW_1,BTC_DOW_2,BTC_DOW_3,BTC_DOW_4,BTC_DOW_5,BTC_DOW_6,BTC_Month_2,BTC_Month_3,BTC_Month_4,BTC_Month_5,BTC_Month_6,BTC_Month_7,BTC_Month_8,BTC_Month_9,BTC_Month_10,BTC_Month_11,BTC_Month_12,BTC_Quarter_2,BTC_Quarter_3,BTC_Quarter_4,BTC_Price_Rank_Long,BTC_RSI_14,BTC_EWMA_Vol_20,BTC_OC_Range_Ratio,BTC_Overnight_Gap,forward_returns,risk_free_rate,BTC_Prev_Day_QQQ_Return,QQQ_Prev_Day_BTC_Return,Corr_BTC_QQQ_30d,market_forward_excess_returns,open,high,low,close
0,-0.004201080497374000,0.00825307228416738,0.9843349166911930,0.0026461556939421800,10284.415235600000,0.976724270923594,0.011337308521534600,10282.2072278,1.0723484086065800,0.01824668906835490,10263.0520994,0.9471640919972650,0.028016282803678900,10410.8781577,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.746031746031746,34.904397617915400,0.018036919142390000,0.5866498673480250,0.0006369755345809750,0.006684186309824150,5.47945205479452E-05,0.004799770701156670,-0.0034564758399188200,0.144989071282229,0.003922615045599870,10247.7959,10275.92871,10191.46973,10198.24805
1,0.006684186309824150,0.04408006085961680,0.9911533736206870,0.005163974507591250,10266.088478000000,0.9933662565620950,0.01128811411705400,10275.351270800000,1.0696217032360200,0.01821425408368060,10296.464159900000,0.9686114615104400,0.0279605543728561,10405.3333172,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.7579365079365080,38.64920939539670,0.017304740620089100,0.14847393827905300,0.00022043394012172300,-0.008257355627032890,5.47945205479452E-05,-0.00041542053917853500,-0.004201080497374000,0.13507367810888800,-0.011069457221253200,10200.49609,10295.66895,9851.69238,10266.41504
2,-0.008257355627032890,0.015054169010802500,0.9839509182593880,0.005867051981098860,10232.874220000000,1.0064913175615900,0.009219313249561120,10281.9178718,1.0572107527131400,0.01840402639155040,10324.0130369,0.9843891338854010,0.02780410911638360,10402.642236366700,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.7341269841269840,42.988856750314600,0.01664219434386670,0.550974112068599,-9.41711392188349E-06,-0.03386842740146680,5.47945205479452E-05,0.0016621649698731500,0.006684186309824150,0.1263750099207890,-0.03670907995783950,10266.31836,10285.87207,10132.18652,10181.6416
3,-0.03386842740146680,0.03506121834295340,0.9540191778331970,0.016657793690739100,10053.498048,0.93907438793424,0.01169610886385250,10168.9566418,0.9158269450076830,0.012838954522323900,10278.5711429,0.9815859066677190,0.02762460316560420,10405.8905437,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.6626984126984130,28.84765160538240,0.01790877667698830,0.9756375990622610,-0.00024127063376100400,-0.11396041337802200,5.47945205479452E-05,-0.010578718108276300,-0.008257355627032890,0.12920423939193600,-0.06712560351416080,10067.96289,10074.23828,9727.14355,9729.32422
4,-0.11396041337802200,0.1580731680038580,0.8396861393595090,0.04718967735286050,9724.328322,0.8322577498087070,0.03576765031013160,9995.2084,0.8136837015051690,0.027658204863154100,10179.874805400000,0.873384108866494,0.0313014259092771,10385.0615887,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.5753968253968250,17.790754951465800,0.03705837001143930,0.7734515506894500,-3.01151440118552E-07,-0.01549471851931360,5.47945205479452E-05,-0.0015723270440252100,-0.03386842740146680,0.22109885221246300,-0.018159613397655500,9729.32129,9804.31738,8370.80176,8620.56641
5,-0.01549471851931360,0.04915179365991680,0.8335584273561540,0.046329336120846200,9385.398634000000,0.820180580019939,0.03531196403895870,9809.136427,0.8025120813766630,0.027617235210982800,10075.4478034,0.8954718024580900,0.03095666103275020,10368.550179200000,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.5634920634920640,14.653574736977500,0.0352497518169136,0.27760316251391200,-0.001988001621345830,-0.043363460186882000,5.47945205479452E-05,-0.013280839895013200,-0.11396041337802200,0.2890688899626030,-0.046016860904269600,8603.42871,8744.82812,8325.39648,8486.99316
6,-0.043363460186882000,0.07560045713088220,0.8102991264184230,0.045136508164131300,9005.248828,0.7900292454535400,0.03579774235380170,9593.353809,0.7841910916479110,0.028500764396489400,9963.7310554,0.8498991372777680,0.03140083590825900,10344.651969533300,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.5357142857142860,4.699488626569350,0.03459070724466250,0.5946270244381950,7.97408442827496E-05,0.016366357616419000,5.47945205479452E-05,0.011225206149917600,-0.01549471851931360,0.14483999388301300,0.01367815575168340,8487.66992,8515.68555,7895.62939,8118.96777
7,0.016366357616419000,0.037645550858798900,0.8194164859459730,0.048161159060148300,8641.539452,0.805744181909989,0.03748917053515750,9394.411133,0.7846007151250100,0.028527952943360300,9850.4605964,0.8668683225118600,0.0314916311251954,10323.530306033300,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.5555555555555560,9.636560497398240,0.03447539533582440,0.4540107720261640,-0.0007225918572651980,0.023405511735846300,5.47945205479452E-05,-0.0036826704157968400,-0.043363460186882000,0.11672295253913900,0.020684948393494300,8113.10107,8271.52051,7965.92285,8251.8457
8,0.023405511735846300,0.05990926567507050,0.9772445910631560,0.026923826739421300,8202.956444,0.8145904644689120,0.039180572690541300,8794.177539,0.8198782298564250,0.029586375128715300,9538.0477054,0.7975127092867700,0.030638397368529100,10232.717773366700,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.5555555555555560,15.40280971313720,0.03193939028925860,0.39224885975507100,5.06034810610068E-06,0.005957197419448780,5.47945205479452E-05,-0.012408918576407100,0.016366357616419000,0.12381576761041100,0.003228299626073810,8104.22656,8314.23145,7830.75879,8293.86816
9,0.005957197419448780,0.03168307999600830,1.0276277239120000,0.015750268451650800,8247.818164,0.8326858469692480,0.040008777015337900,8626.533496,0.8197063648902350,0.0295805556729321,9446.2929204,0.7932247303971410,0.030602229980038800,10196.4694662,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.5595238095238100,17.04432071890000,0.030762571956625300,0.16435314790264100,0.0007056466159212070,0.005964757703453620,5.47945205479452E-05,0.009517195153275980,0.023405511735846300,0.010487663366734500,0.0032553856892420600,8299.7207,8497.69238,8232.67969,8343.27637
