date_id,QQQ_Daily_Return,QQQ_Intraday_Vol_Proxy,QQQ_Momentum_5,QQQ_Vol_5,QQQ_SMA_5,QQQ_Avg_Volume_5,QQQ_Volume_Ratio_5,QQQ_Momentum_10,QQQ_Vol_10,QQQ_SMA_10,QQQ_Avg_Volume_10,QQQ_Volume_Ratio_10,QQQ_Momentum_20,QQQ_Vol_20,QQQ_SMA_20,QQQ_Avg_Volume_20,QQQ_Volume_Ratio_20,QQQ_Momentum_60,QQQ_Vol_60,QQQ_SMA_60,QQQ_Avg_Volume_60,QQQ_Volume_Ratio_60,QQQ_Is_Weekend,QQQ_DOW_1,QQQ_DOW_2,QQQ_DOW_3,QQQ_DOW_4,QQQ_Month_2,QQQ_Month_3,QQQ_Month_4,QQQ_Month_5,QQQ_Month_6,QQQ_Month_7,QQQ_Month_8,QQQ_Month_9,QQQ_Month_10,QQQ_Month_11,QQQ_Month_12,QQQ_Quarter_2,QQQ_Quarter_3,QQQ_Quarter_4,QQQ_Price_Rank_Long,QQQ_RSI_14,QQQ_EWMA_Vol_20,QQQ_OC_Range_Ratio,forward_returns,risk_free_rate,BTC_Prev_Day_QQQ_Return,QQQ_Prev_Day_BTC_Return,Corr_BTC_QQQ_30d,market_forward_excess_returns,open,high,low,close,volume
0,-0.00041542053917853500,0.013012699281568500,1.0004677545324400,0.004276261035744840,192.513998,25482680.0,1.1686879088070800,1.0222481813837400,0.007157098011616250,192.01999800000000,25404970.0,1.172262750162670,1.0296839065090700,0.011103501358432000,189.13149885,26636170.0,1.1180774112794700,1.023171768707480,0.011802317612796000,189.31899831666700,28488720.0,1.045371641828770,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.9444444444444440,71.2163816191649,0.009947026719745260,0.12851348849463900,0.0016621649698731500,5.47945205479452E-05,0.004799770701156670,-0.0034564758399188200,0.144989071282229,0.0010770989405431400,192.2,192.60001,190.11,192.52,29781300
1,0.0016621649698731500,0.00812398987494666,0.9979816798633750,0.0038040243426222900,192.43599800000000,24952580.0,1.0435554159129000,1.0055271665450000,0.004404529309401780,192.125998,24615650.0,1.0578392201709100,1.0223188252133800,0.0109683139956625,189.34199885,26917215.0,0.9673883423675150,1.0427729975003000,0.01157406966553110,189.45083181666700,28357358.333333300,0.9182590174272820,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.9603174603174600,66.39993440026250,0.009461907544149400,0.012738902186893800,-0.010578718108276300,5.47945205479452E-05,-0.00041542053917853500,-0.004201080497374000,0.13507367810888800,-0.01114940784033200,192.86,194.039993,192.47,192.84,26039400
2,-0.010578718108276300,0.01642929488166210,0.9909629682644110,0.005950573316154640,192.08800000000000,25235840.0,1.1525711052217800,0.995876611514171,0.005647745596715510,192.04699800000000,25575480.0,1.137265067947890,1.014785639511000,0.011242763084549500,189.48099865,27159335.0,1.0709430109389600,1.026965984550620,0.011654118907442400,189.53433198333300,28465531.666666700,1.021800693575660,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.8809523809523810,60.03613006824570,0.009696361601097600,0.7333331005291740,-0.0015723270440252100,5.47945205479452E-05,0.0016621649698731500,0.006684186309824150,0.1263750099207890,-0.002144143201803370,193.11,193.31,190.16,190.8,29086100
3,-0.0015723270440252100,0.0070905886777903400,0.9938439583599730,0.005764147751158750,191.85200200000000,25669220.0,0.8759868823439120,0.9963910246351800,0.005632949890697360,191.97799800000000,25383310.0,0.8858537361754630,1.0463008330636200,0.00830224554154796,189.9024983,25515010.0,0.8812812536620600,1.0214477211796200,0.01164894944557160,189.60099865,28511810.0,0.7886521409899970,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.8650793650793650,66.09155245005820,0.00923958321699745,0.10370308916686900,-0.013280839895013200,5.47945205479452E-05,-0.010578718108276300,-0.008257355627032890,0.12920423939193600,-0.013849498108720700,190.36,191.070007,189.72,190.5,22485900
4,-0.013280839895013200,0.024490590389020300,0.975960489306309,0.006646678846368010,190.92600000000000,29642680.0,1.3770920847912500,0.9859945446915650,0.006957227432047670,191.710998,27090910.0,1.5068043118522000,1.017043554970050,0.008423174777413220,190.0599978,26176100.0,1.5594645497228400,1.0065866441797900,0.011781652097665300,189.6214984833330,28839168.333333300,1.4154603741751500,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.7817460317460320,48.79356891804580,0.009666719010219740,0.7327584627675760,0.011225206149917600,5.47945205479452E-05,-0.0015723270440252100,-0.03386842740146680,0.22109885221246300,0.010645475608934500,191.37,191.78999,187.14999,187.97,40820700
5,0.011225206149917600,0.023196931123563900,0.9873260024932470,0.009849584725057820,190.43800040000000,30627400.0,1.1331324239080000,0.9877878287059100,0.0072894892140302,191.4759992,28055040.0,1.237029068573780,1.0306349959678500,0.008697446149345170,190.3424984,26510705.0,1.3090900449459900,1.0043327276937900,0.011741752079668600,189.63516535000000,28900490.0,1.2008412314116500,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.8492063492063490,43.74082200923980,0.009925723789635950,0.5263173310883260,-0.0036826704157968400,5.47945205479452E-05,-0.013280839895013200,-0.11396041337802200,0.2890688899626030,-0.004250961601537500,187.78,190.58,186.21001,190.080002,34704900
6,-0.0036826704157968400,0.010688497968330700,0.9820576643849820,0.00956979294700721,189.7460004,30784720.0,0.8714063340514390,0.9800755576256280,0.007066995711591840,191.0909992,27868650.0,0.9625869929113900,1.023177935559520,0.008759454144004060,190.5569986,26762385.0,1.0023770302983100,0.9966844138822390,0.011741050462067300,189.62466544166700,29046993.333333300,0.9235379267022250,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.8253968253968250,42.15758304232400,0.009505995697735330,0.2227721669444790,-0.012408918576407100,5.47945205479452E-05,0.011225206149917600,-0.01549471851931360,0.14483999388301300,-0.01298405479013970,189.83,190.0,187.98,189.38,26826000
7,-0.012408918576407100,0.021727251204582100,0.9802410849056600,0.009932640216354240,188.99200020000000,33122200.0,1.2310021677304000,0.9713826151128400,0.007801425006811640,190.5400001,29179020.0,1.3973567309662900,0.9952639367816090,0.008599840836885650,190.51249855,27533115.0,1.4808894671017100,0.9769640566234850,0.011806714407281900,189.551165425,29463350.0,1.3838718272022700,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.7420634920634920,37.032452215688900,0.0097435249701122,0.6617647887831350,0.009517195153275980,5.47945205479452E-05,-0.0036826704157968400,-0.043363460186882000,0.11672295253913900,0.008942950431270120,189.73,189.83,185.75,187.029999,40773500
8,0.009517195153275980,0.009083539896654170,0.9911286089238850,0.011679156769837300,188.65400020000000,33886560.0,0.7763461384100360,0.9850271799367270,0.00868683692849809,190.2530011,29777890.0,0.8834642078401120,1.0071478103163200,0.008848893907102720,190.57949855,27532510.0,0.9555140450325820,0.9882753050781160,0.011872269247293000,189.51383204166700,29544885.0,0.8904316263204270,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.8095238095238100,44.701809132413500,0.00984431179226441,0.5964932389323850,-0.008156347651077760,5.47945205479452E-05,-0.012408918576407100,0.016366357616419000,0.12381576761041100,-0.008725163570092090,187.78999,189.11,187.39999,188.81,26307700
9,-0.008156347651077760,0.019229780228573500,0.9962760014896000,0.010585294395080500,188.5140002,32195940.0,1.005331728162000,0.9723260138979230,0.00861311529592734,189.7200001,30919310.0,1.0468409547302300,1.0087261518301200,0.00876202879795373,190.66049905,27752680.0,1.1662873639590800,0.9871382116315320,0.011884412454927100,189.47316520833300,29791031.666666700,1.0864880532558500,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.746031746031746,34.841442354831200,0.00964689055293205,0.6143265919943040,-0.01719440914188080,5.47945205479452E-05,0.009517195153275980,0.023405511735846300,0.010487663366734500,-0.017748452388051000,189.5,190.59,186.96001,187.27,32367600
